suite,space_m,node_count,packet_size_bits,initial_energy_j,pso_c1,pso_c2,pso_omega,transmission_range_m,cluster_head_ratio,eulc_candidate_ratio,pso_particles,pso_iterations,runs,seed_start,seed_end,max_rounds,fnd_mean,fnd_std,fnd_min,fnd_max,hnd_mean,lnd_mean,first_5pct_mean,residual_energy_pct_at_stop,dead_nodes_pct_at_stop,packets_received_mean,alive_nodes_mean,censored_runs,elapsed_sec
pso_coeff_sweep_100m_v2,100,300,6400,0.5,2.0,1.0,0.65,150.0,0.2,0.2,4,3,3,42,44,6000,119,16.3911,100,140,,,,91.68,0.33,1336.6667,299,0,0.47
pso_coeff_sweep_100m_v2,100,500,6400,0.5,2.0,1.0,0.65,150.0,0.2,0.2,4,3,3,42,44,6000,48.6667,20.0389,34,77,,,,96.59,0.2,862.3333,499,0,0.43
pso_coeff_sweep_100m_v2,100,100,6400,0.5,2.5,0.5,0.65,150.0,0.2,0.2,4,3,3,42,44,6000,416.6667,299.2182,40,772,,,,70.94,1.0,2232.6667,99,0,0.64
pso_coeff_sweep_100m_v2,100,200,6400,0.5,2.5,0.5,0.65,150.0,0.2,0.2,4,3,3,42,44,6000,338,117.7568,218,498,,,,76.41,0.5,3313,199,0,0.72
pso_coeff_sweep_100m_v2,100,300,6400,0.5,2.5,0.5,0.65,150.0,0.2,0.2,4,3,3,42,44,6000,65.6667,10.1434,58,80,,,,95.41,0.33,761,299,0,0.38
pso_coeff_sweep_100m_v2,100,500,6400,0.5,2.5,0.5,0.65,150.0,0.2,0.2,4,3,3,42,44,6000,38.6667,0.9428,38,40,,,,97.3,0.2,780.3333,499,0,0.41
objective_weight_sweep_100m_v2,100,100,6400,0.5,1.5,1.5,0.35,150.0,0.2,0.2,4,3,3,42,44,6000,398.3333,242.7651,60,618,,,,72.25,1.0,2159,99,0,0.63
objective_weight_sweep_100m_v2,100,200,6400,0.5,1.5,1.5,0.35,150.0,0.2,0.2,4,3,3,42,44,6000,358.6667,130.6403,199,519,,,,74.96,0.5,3593,199,0,0.84
objective_weight_sweep_100m_v2,100,300,6400,0.5,1.5,1.5,0.35,150.0,0.2,0.2,4,3,3,42,44,6000,65,9.9331,57,79,,,,95.46,0.33,763.3333,299,0,0.36
objective_weight_sweep_100m_v2,100,500,6400,0.5,1.5,1.5,0.35,150.0,0.2,0.2,4,3,3,42,44,6000,38.6667,1.2472,37,40,,,,97.29,0.2,766.6667,499,0,0.37
objective_weight_sweep_100m_v2,100,100,6400,0.5,1.5,1.5,0.5,150.0,0.2,0.2,4,3,3,42,44,6000,432.6667,271.6877,60,700,,,,69.85,1.0,2321.6667,99,0,0.58
objective_weight_sweep_100m_v2,100,200,6400,0.5,1.5,1.5,0.5,150.0,0.2,0.2,4,3,3,42,44,6000,352.3333,122.948,199,500,,,,75.4,0.5,3469.6667,199,0,0.69
